# F-22 side profile — extracted from x=0 (aircraft symmetry plane)
# Source axes: aircraft Y (nose-tail, length) -> x | aircraft Z (vertical) -> y
# 71 length-stations, top+bottom curve, CCW
-9.460000, -0.012000
-9.340000, -0.022000
-9.060000, -0.100000
-8.760000, -0.178000
-8.460000, -0.270000
-8.193334, -0.332222
-7.926667, -0.396667
-7.660000, -0.460000
-7.360000, -0.522222
-7.060000, -0.583333
-6.760000, -0.640000
-6.510000, -0.678984
-6.260000, -0.715625
-6.010000, -0.749453
-5.760000, -0.780000
-5.485000, -0.806484
-5.210000, -0.829375
-4.935000, -0.850078
-4.660000, -0.870000
-4.360000, -0.889914
-4.060000, -0.908938
-3.760000, -0.925992
-3.460000, -0.940000
-3.160000, -0.950312
-2.860000, -0.957625
-2.560000, -0.962875
-2.260000, -0.967000
-2.000000, -0.969640
-1.740000, -0.971360
-1.480000, -0.972160
-1.220000, -0.972040
-0.960000, -0.971000
-0.700000, -0.969117
-0.440000, -0.966390
-0.180000, -0.962706
0.080000, -0.957947
0.340000, -0.952000
0.620000, -0.944739
0.900000, -0.936242
1.180000, -0.926694
1.460000, -0.916285
1.740000, -0.905200
2.020000, -0.893197
2.300000, -0.880150
2.580000, -0.866426
2.860000, -0.852387
3.140000, -0.838400
3.420000, -0.824339
3.700000, -0.809962
3.980000, -0.795454
4.260000, -0.781005
4.540000, -0.766800
4.820000, -0.753362
5.100000, -0.740565
5.380000, -0.727627
5.660000, -0.713766
5.940000, -0.698200
6.220000, -0.679683
6.500000, -0.658738
6.780000, -0.637230
7.060000, -0.617029
7.340000, -0.600000
7.590000, -0.584111
7.840000, -0.571988
8.090000, -0.561370
8.340000, -0.550000
8.565000, -0.525625
8.790000, -0.500000
9.090000, -0.440000
9.260000, -0.370000
9.340000, -0.310000
9.340000, 0.710000
9.260000, 0.800000
9.090000, 0.890000
8.790000, 0.960000
8.565000, 0.995000
8.340000, 1.030000
8.090000, 1.046797
7.840000, 1.063125
7.590000, 1.080391
7.340000, 1.100000
7.060000, 1.118880
6.780000, 1.140240
6.500000, 1.162160
6.220000, 1.182720
5.940000, 1.200000
5.660000, 1.213520
5.380000, 1.224560
5.100000, 1.233840
4.820000, 1.242080
4.540000, 1.250000
4.260000, 1.257600
3.980000, 1.264400
3.700000, 1.270400
3.420000, 1.275600
3.140000, 1.280000
2.860000, 1.283600
2.580000, 1.286400
2.300000, 1.288400
2.020000, 1.289600
1.740000, 1.290000
1.460000, 1.289440
1.180000, 1.287920
0.900000, 1.285680
0.620000, 1.282960
0.340000, 1.280000
0.080000, 1.276960
-0.180000, 1.273680
-0.440000, 1.269920
-0.700000, 1.265440
-0.960000, 1.260000
-1.220000, 1.253440
-1.480000, 1.245920
-1.740000, 1.237680
-2.000000, 1.228960
-2.260000, 1.241757
-2.560000, 1.280367
-2.860000, 1.338825
-3.160000, 1.419619
-3.460000, 1.491563
-3.760000, 1.552578
-4.060000, 1.585000
-4.360000, 1.602109
-4.660000, 1.605822
-4.935000, 1.596183
-5.210000, 1.571975
-5.485000, 1.533244
-5.760000, 1.478871
-6.010000, 1.412063
-6.260000, 1.335444
-6.510000, 1.247564
-6.760000, 1.148047
-7.060000, 1.001785
-7.360000, 0.836076
-7.660000, 0.700741
-7.926667, 0.592785
-8.193334, 0.509630
-8.460000, 0.440000
-8.760000, 0.335312
-9.060000, 0.240000
-9.340000, 0.105034
-9.460000, 0.070021
