# pycfd geometry file -- NACA 0012 aerofoil
# Symmetric 4-digit NACA section, unit chord, closed trailing edge
# Generated with cosine spacing (50 stations/surface) via the standard
# thickness distribution y_t = 5t(0.2969 sqrt(x) - 0.1260x - 0.3516x^2
#                                + 0.2843x^3 - 0.1036x^4), t = 0.12
# Chord = 1.0, leading edge at (0,0), trailing edge at (1,0)
# Vertices listed counter-clockwise, starting at the trailing edge
#
1.000000, -0.000000
0.998973, 0.000149
0.995895, 0.000595
0.990780, 0.001332
0.983647, 0.002352
0.974528, 0.003642
0.963458, 0.005188
0.950484, 0.006973
0.935659, 0.008978
0.919044, 0.011180
0.900707, 0.013560
0.880723, 0.016093
0.859175, 0.018755
0.836150, 0.021524
0.811745, 0.024374
0.786058, 0.027281
0.759196, 0.030221
0.731269, 0.033169
0.702392, 0.036099
0.672683, 0.038986
0.642264, 0.041803
0.611260, 0.044522
0.579800, 0.047116
0.548012, 0.049556
0.516026, 0.051812
0.483974, 0.053854
0.451988, 0.055652
0.420200, 0.057178
0.388740, 0.058401
0.357736, 0.059296
0.327317, 0.059838
0.297608, 0.060006
0.268731, 0.059782
0.240804, 0.059152
0.213942, 0.058107
0.188255, 0.056644
0.163850, 0.054763
0.140825, 0.052472
0.119277, 0.049782
0.099293, 0.046708
0.080956, 0.043271
0.064341, 0.039493
0.049516, 0.035400
0.036542, 0.031017
0.025472, 0.026371
0.016353, 0.021488
0.009220, 0.016391
0.004105, 0.011100
0.001027, 0.005632
0.000000, 0.000000
0.001027, -0.005632
0.004105, -0.011100
0.009220, -0.016391
0.016353, -0.021488
0.025472, -0.026371
0.036542, -0.031017
0.049516, -0.035400
0.064341, -0.039493
0.080956, -0.043271
0.099293, -0.046708
0.119277, -0.049782
0.140825, -0.052472
0.163850, -0.054763
0.188255, -0.056644
0.213942, -0.058107
0.240804, -0.059152
0.268731, -0.059782
0.297608, -0.060006
0.327317, -0.059838
0.357736, -0.059296
0.388740, -0.058401
0.420200, -0.057178
0.451988, -0.055652
0.483974, -0.053854
0.516026, -0.051812
0.548012, -0.049556
0.579800, -0.047116
0.611260, -0.044522
0.642264, -0.041803
0.672683, -0.038986
0.702392, -0.036099
0.731269, -0.033169
0.759196, -0.030221
0.786058, -0.027281
0.811745, -0.024374
0.836150, -0.021524
0.859175, -0.018755
0.880723, -0.016093
0.900707, -0.013560
0.919044, -0.011180
0.935659, -0.008978
0.950484, -0.006973
0.963458, -0.005188
0.974528, -0.003642
0.983647, -0.002352
0.990780, -0.001332
0.995895, -0.000595
0.998973, -0.000149
